DOY,H_den_SWP,SW_spd_SWP,Trr_SWP
140,1.7202,553.5333,1.56E+05
141,1.9821,513.4865,1.18E+05
142,1.6838,489.2488,1.02E+05
143,1.4365,483.0835,1.16E+05
144,1.873,396.3835,6.06E+04
145,3.4401,369.1544,4.69E+04
146,5.562,342.5665,3.66E+04
147,6.5565,365.2484,8.50E+04
148,3.2893,511.2974,1.67E+05
149,1.1274,554.3289,2.38E+05
150,0.7746,582.5365,2.17E+05
151,1.2364,509.9263,1.90E+05
152,0.9844,445.6777,7.51E+04
153,2.0835,362.6786,2.64E+04
154,1.2903,330.4849,2.43E+04
155,1.8575,292.6057,1.31E+04
156,2.0378,283.0613,1.26E+04
157,6.1302,296.9963,3.06E+04
158,4.445,325.5222,3.22E+04
159,3.8688,324.8744,3.86E+04
160,4.8898,316.9796,3.62E+04
161,3.3065,316.1323,4.68E+04
162,10.5399,337.6606,3.55E+04
163,5.992,406.0443,1.14E+05
164,2.9224,501.8531,2.06E+05
165,3.0822,464.6923,1.34E+05
166,3.1504,577.17,2.25E+05
167,2.035,562.3035,1.53E+05
168,1.9402,616.4971,2.18E+05
169,1.6347,606.5226,2.05E+05
170,1.4182,602.9749,2.40E+05
171,0.9595,566.6121,1.82E+05
172,2.7042,500.2706,8.27E+04
173,2.8152,473.3826,1.06E+05
174,3.6541,472.1597,1.19E+05
175,2.5995,417.99,7.04E+04
176,1.6645,407.1948,8.35E+04
177,2.3456,573.7355,2.43E+05
178,1.4738,586.5638,1.53E+05
179,2.691,511.0319,1.17E+05
180,2.5432,471.5932,9.34E+04
181,3.1484,393.2758,4.67E+04
182,8.76,348.6719,2.78E+04
183,5.6007,333.3158,2.06E+04
184,12.0386,327.4698,3.13E+04
185,14.4168,395.2264,8.17E+04
186,4.4635,375.707,2.93E+04
187,8.5371,336.6461,3.42E+04
188,7.3709,361.8549,3.09E+04
189,8.2593,403.7318,8.13E+04
190,4.7912,358.8412,3.83E+04
191,5.52,370.4423,4.14E+04
192,6.5615,345.563,3.59E+04
193,6.3629,425.5741,1.12E+05
194,1.7889,475.1603,1.01E+05
195,0.3218,436.9669,1.13E+05
196,0.2221,458.18,2.04E+05
197,0.1875,458.6309,1.95E+05
198,0.5142,410.9364,7.32E+04
199,2.4006,388.1229,6.34E+04
200,3.6464,454.006,4.31E+04
201,3.2319,409.1648,7.78E+04
202,11.6558,390.7167,8.27E+04
203,4.4347,504.2086,1.89E+05
204,3.3351,557.5403,2.01E+05
205,2.2355,522.0183,1.01E+05
206,2.4826,434.2444,4.58E+04
207,1.2635,412.7967,8.04E+04
208,4.1252,425.9981,9.77E+04
209,4.5816,391.256,4.15E+04
210,4.8889,363.1453,3.55E+04
211,8.1259,350.9913,3.22E+04
212,8.5629,377.913,7.88E+04
213,4.0706,471.5737,1.23E+05
214,4.2377,497.103,1.18E+05
215,4.6315,519.1014,1.08E+05
